spec_id,specno,ucmp_coll,class,genus,species,subspecies,other_id,type_status,period,epoch,loc_ID_num,loc_name,county_std,state_prov_std,country_std,cont_ocean,pic,access
V5282,5282,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5284,5284,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5347,5347,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5365,5365,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5402,5402,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5525,5525,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5528,5528,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5540,5540,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5574,5574,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5579,5579,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5631,5631,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5642,5642,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5710,5710,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5849,5849,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5880,5880,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5941,5941,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5976,5976,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5983,5983,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5985,5985,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6167,6167,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6321,6321,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6374,6374,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6377,6377,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6383,6383,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6384,6384,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6409,6409,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6732,6732,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6944,6944,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V6991,6991,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8066,8066,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8068,8068,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8108,8108,V,Mammalia,Ursus,maritimus,,,,Quaternary,Recent,R0,Recent Element Collection,,,,,2222 0804 0004 0025,yes
V8148,8148,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8180,8180,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8193,8193,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8216,8216,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8224,8224,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8225,8225,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8233,8233,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8234,8234,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8243,8243,V,Mammalia,Ursus,americanus,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8252,8252,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8255,8255,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8266,8266,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8276,8276,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8285,8285,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8287,8287,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8290,8290,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8292,8292,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8308,8308,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8309,8309,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8318,8318,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8320,8320,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8321,8321,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8326,8326,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8327,8327,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8328,8328,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8330,8330,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8331,8331,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8349,8349,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8379,8379,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8380,8380,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8387,8387,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8423,8423,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8424,8424,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8433,8433,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8438,8438,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8459,8459,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8460,8460,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8461,8461,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V8462,8462,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
